;U I T G A V E N;;;;
Datum Boeking;Soort uitgaven ;Categorie ;Hoofdrubriek ;Omschrijving factuur ;Realisatie boeking 
29-1-16;Personele uitgaven;Eigen Personeel;Salaris, vakantie- en eindejaarsuitkering;Bruto salaris januari ;1.653.409,16
29-1-16;Personele uitgaven;Eigen Personeel;Gratificaties;Gratificaties januari;16.738,65
31-1-16;Personele uitgaven;Eigen Personeel;Representatie Eigen Personeel;Cadeau-en geschenkbonnen;250,00
31-1-16;Personele uitgaven;Eigen Personeel;Representatie Eigen Personeel;Cadeau-en geschenkbonnen;200,00
1-1-16;Personele uitgaven;Postactieven;Bovenwettelijke uitkering, wachtgelden;Wachtgelden;128,09
12-1-16;Personele uitgaven;Postactieven;Bovenwettelijke uitkering, wachtgelden;Wachtgelden;10.344,22
31-1-16;Personele uitgaven;Eigen Personeel;Salaris, vakantie- en eindejaarsuitkering;Uitkeringen;-13.628,82
1-1-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Secretarieel/facilitair medewerker;2.078,28
11-1-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Secretarieel/facilitair medewerker;1.230,26
11-1-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Secretarieel/facilitair medewerker;705,38
11-1-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Secretarieel/facilitair medewerker;676,15
12-1-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Secretarieel/facilitair medewerker;698,78
18-1-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Secretarieel/facilitair medewerker;1.960,47
19-1-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;Secretarieel/facilitair medewerker;873,47
11-1-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Uitbreiding functionaliteiten;18.585,60
12-1-16;Personele uitgaven;Eigen Personeel;Vergoedingen voor inbesteding personeel;Indetachering;15.518,25
1-1-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Inhoudelijke studie/opleiding;12,50
1-1-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Lezing;62,92
1-1-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Lezing;450,60
1-1-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Inhoudelijke studie/opleiding;1.207,58
1-1-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Inhoudelijke studie/opleiding;2.725,00
1-1-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Inhoudelijke studie/opleiding;3.152,50
1-1-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Inhoudelijke studie/opleiding;7.441,50
1-1-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Themadag;843,85
1-1-16;Personele uitgaven;Eigen Personeel;Representatie Eigen Personeel;Diner;1.431,85
1-1-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Inhoudelijke studie/opleiding;1.552,50
11-1-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Inhoudelijke studie/opleiding;320,60
11-1-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Inhoudelijke studie/opleiding;412,80
11-1-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Inhoudelijke studie/opleiding;495,00
11-1-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Cursus;750,00
11-1-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Inhoudelijke studie/opleiding;1.400,00
11-1-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Inhoudelijke studie/opleiding;6.658,03
12-1-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Inhoudelijke studie/opleiding;495,00
12-1-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;coaching;953,80
12-1-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Inhoudelijke studie/opleiding;1.000,00
1-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tanzania;-19,62
1-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Hongarije;436,60
1-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;412,03
1-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tanzania;61,31
1-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tanzania;51,62
1-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tanzania;-156,15
1-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Verenigd Koninkrijk;-61,31
1-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tunesie;585,25
1-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Qatar;585,25
1-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Qatar;585,25
1-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;0,00
1-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;139,00
1-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;139,00
1-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tanzania;140,00
11-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis België;241,60
13-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;-463,91
14-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Spanje;194,85
14-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Spanje;214,85
14-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Spanje;214,85
18-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tanzania;967,80
29-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Binnenlandse dienstreizen januari;2.781,65
31-1-16;Personele uitgaven;Eigen Personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Creditnota onkostenvergoedingen waaronder woon-werkverkeer;-500,00
13-1-16;Materiële uitgaven;Vervoer- en verblijfkosten;Verblijf extern;Consumpties externe Bijeenkomst;996,08
1-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;-73,00
29-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Verenigd Koninkrijk;1.085,70
29-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Qatar;374,96
29-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Qatar;995,57
29-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Qatar;1.340,53
29-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Qatar;725,11
29-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tanzania;1.489,05
29-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tanzania;1.441,42
29-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;136,33
29-1-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Oekraine;282,65
12-1-16;Personele uitgaven;Eigen Personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Woon- werkverkeer;74,90
12-1-16;Personele uitgaven;Eigen Personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Woon- werkverkeer;46,40
20-1-16;Personele uitgaven;Eigen Personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Mobility Mixx;28.971,27
11-1-16;Personele uitgaven;Eigen Personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Internetabonnement;62,50
1-1-16;Personele uitgaven;Eigen Personeel;Representatie Eigen Personeel;Gebak;27,81
7-1-16;Personele uitgaven;Eigen Personeel;Representatie Eigen Personeel;Afscheid;1.376,17
1-1-16;Personele uitgaven;Eigen Personeel;Personeelsevenementen, -bijeenkomsten en recepties;Personeelsvereniging;4.500,00
11-1-16;Personele uitgaven;Eigen Personeel;Representatie Eigen Personeel;Sectorlunch;687,50
12-1-16;Personele uitgaven;Eigen Personeel;Personeelsevenementen, -bijeenkomsten en recepties;Personeelsvereniging;376,25
1-1-16;Personele uitgaven;Eigen Personeel;Personeelsevenementen, -bijeenkomsten en recepties;Personeelsvereniging;4.482,00
1-1-16;Personele uitgaven;Eigen Personeel;Noodzakelijke contributies van personeel;Contributie;228,69
11-1-16;Personele uitgaven;Eigen Personeel;Noodzakelijke contributies van personeel;Contributie;233,00
12-1-16;Personele uitgaven;Eigen Personeel;Noodzakelijke contributies van personeel;Contributie;248,05
13-1-16;Personele uitgaven;Eigen Personeel;Noodzakelijke contributies van personeel;Contributie;1.000,00
13-1-16;Personele uitgaven;Eigen Personeel;Noodzakelijke contributies van personeel;Contributie;5.000,00
19-1-16;Personele uitgaven;Eigen Personeel;Noodzakelijke contributies van personeel;Contributie;18,50
20-1-16;Personele uitgaven;Eigen Personeel;Noodzakelijke contributies van personeel;Contributie;155,00
11-1-16;Personele uitgaven;Eigen Personeel;Instroom, doorstroom en uitstroom van personeel;Vacatureplaatsing;520,00
1-1-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;Onderhoud tuin en planten;1.681,63
1-1-16;Materiële uitgaven;Diensten en middelen;Schoonmaken;Ongediertebestrijding;963,85
1-1-16;Materiële uitgaven;Diensten en middelen;Schoonmaken;Ongediertebestrijding;3.963,85
