"","Ministerie","Jaar","soort","waarde"
"1","AZ",2017,"Open","11"
"2","BZ",2017,"Open","3"
"3","BZK",2017,"Open","53"
"4","DEF",2017,"Open","13"
"5","EZ",2017,"Open","107"
"6","FIN",2017,"Open","46"
"7","IenM",2017,"Open","1656"
"8","OCW",2017,"Open","119"
"9","SZW",2017,"Open","176"
"10","VenJ",2017,"Open","19"
"11","VWS",2017,"Open","48"
"12","AZ",2016,"Open","10"
"13","BZ",2016,"Open","2"
"14","BZK",2016,"Open","36"
"15","DEF",2016,"Open","12"
"16","EZ",2016,"Open","103"
"17","FIN",2016,"Open","35"
"18","IenM",2016,"Open","1528"
"19","OCW",2016,"Open","107"
"20","SZW",2016,"Open","174"
"21","VenJ",2016,"Open","10"
"22","VWS",2016,"Open","55"
"23","AZ",2015,"Open","9"
"24","BZ",2015,"Open","1"
"25","BZK",2015,"Open","23"
"26","DEF",2015,"Open","8"
"27","EZ",2015,"Open","81"
"28","FIN",2015,"Open","10"
"29","IenM",2015,"Open","1256"
"30","OCW",2015,"Open","92"
"31","SZW",2015,"Open","15"
"32","VenJ",2015,"Open","1"
"33","VWS",2015,"Open","27"
"34","AZ",2017,"Beschikbaar totaal","12"
"35","BZ",2017,"Beschikbaar totaal","4"
"36","BZK",2017,"Beschikbaar totaal","69"
"37","DEF",2017,"Beschikbaar totaal","13"
"38","EZ",2017,"Beschikbaar totaal","109"
"39","FIN",2017,"Beschikbaar totaal","46"
"40","IenM",2017,"Beschikbaar totaal","1658"
"41","OCW",2017,"Beschikbaar totaal","119"
"42","SZW",2017,"Beschikbaar totaal","176"
"43","VenJ",2017,"Beschikbaar totaal","22"
"44","VWS",2017,"Beschikbaar totaal","51"
"45","AZ",2016,"Beschikbaar totaal","10"
"46","BZ",2016,"Beschikbaar totaal","4"
"47","BZK",2016,"Beschikbaar totaal","42"
"48","DEF",2016,"Beschikbaar totaal","12"
"49","EZ",2016,"Beschikbaar totaal","109"
"50","FIN",2016,"Beschikbaar totaal","36"
"51","IenM",2016,"Beschikbaar totaal","1551"
"52","OCW",2016,"Beschikbaar totaal","111"
"53","SZW",2016,"Beschikbaar totaal","174"
"54","VenJ",2016,"Beschikbaar totaal","10"
"55","VWS",2016,"Beschikbaar totaal","57"
